(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 0, 1, 1, 1))	-231.8436738673601
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 0, 0))	-1868729.058464879
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 0, 0))	-1563562.0244738895
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 0, 1))	-2028430.6594391093
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 0, 1))	-1582886.0841961633
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 1, 0))	-1869182.064127833
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 1, 0))	-1562429.1711883694
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 1, 1))	-2450991.0662529664
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 0, 1, 1))	-1866076.0341737561
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 0, 0))	-1892672.593464274
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 0, 0))	-1570729.1790989388
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 0, 1))	-2000093.0100563923
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 0, 1))	-1572891.7005170106
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 1, 0))	-1934709.4491497914
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 1, 0))	-1600804.7445872757
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 1, 1))	-2393132.8393166224
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (0, 1, 1, 1, 1, 1))	-1843524.9480860292
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 0, 0))	-3.544040002522261
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 0, 0))	-2.746271551018556
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 0, 1))	-27.57602874216791
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 0, 1))	-59.81335453287713
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 1, 0))	-156.98616571958976
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 1, 0))	-100.53929126625563
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 1, 1))	-133.13848252328518
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 0, 1, 1))	-77.79729741416169
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 0, 0))	-7.713768337147024
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 0, 0))	-3.9907545236331177
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 0, 1))	-66.39711916384543
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 0, 1))	-93.79968013159512
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 1, 0))	-262.6486765229636
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 1, 0))	-151.4784169975465
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 1, 1))	-214.83084107939035
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 0, 1, 1, 1))	-140.19871794133954
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 0, 0))	-1526704.0270613472
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 0, 0))	-1229878.5002871426
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 0, 1))	-1614150.5135160233
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 0, 1))	-1405344.7910443542
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 1, 0))	-1369372.3243766879
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 1, 0))	-1123198.5128486967
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 1, 1))	-1466549.1059628588
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 0, 1, 1))	-1306055.6199976616
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 1, 0, 0))	-1572592.7746239742
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 1, 0, 0))	-1255027.8237885106
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 1, 0, 1))	-1803729.0971128864
(('x1', -2.0), (-2.0, -2.0, -2.0, -2.0), (1, 0, 1, 1, 0, 1))	-1693304.095346556
