Benchmark	IPC	MPKI	TLB
600	1.480408939763436	0.7681665191575079	0.2884738554971459
600	1.467625331498553	0.1906849788609177	0.1680295282645913
600	1.0405722922867953	2.166991707492885	0.5819327290918167
602	0.7496325516161231	16.472534389925418	1.488031131991585
602	0.7648511470829658	3.040382566454951	1.8030978284369523
602	0.7655025752656983	3.449228776843013	1.8603734051032534
603	0.8356643960585166	2.7716364813014223	0.09142336991597248
603	0.8671993539256887	2.638474670343832	0.08538421745755391
605	0.4717264855971749	21.270278853486406	10.936520362305368
607	0.4310156629172895	5.759112464702143	9.948841249495208
619	0.1073716731362877	24.827447429626837	0.8205392327117316
620	0.3757305629712343	13.650799842074942	9.128677891356732
621	0.3947572102951374	0.7949757978473749	0.0643254678296503
623	0.6478535638377457	4.068915784021255	9.992777242299438
625	2.409374068843482	0.4418718674136361	0.04043561179397758
625	2.5712117997166577	0.2544526640103922	0.08854339948468451
625	2.593280361120807	0.20848756656575745	0.07809944502899724
628	1.3900007201397069	2.1697327178999495	0.1385219043385172
631	1.2857256116741795	1.243862761984466	0.22271612658945275
638	1.285081412354546	0.12427176940725478	0.11045835176438443
641	1.0802697001106016	0.36003577294567474	0.058035325336562534
644	0.7938446261549271	0.09902542016001498	0.05140095598348967
648	1.8769269957587358	0.02380661186202049	0.0573131398344589
649	0.21938810791882674	14.715201470743184	0.9546691017152199
654	0.30716839030538917	11.097967736229135	2.471447105481034
657	0.6038404161754074	3.2971256139191145	2.706263846083543
657	0.2548633846835812	11.062959754785544	8.67570974682042
