Benchmark	IPC	MPKI	TLB
500	1.4672220476497744	0.7652438215195029	0.3045316207896473
500	1.4784702358121884	0.18624026068067434	0.15926338496374817
500	1.0280501923170402	2.125389003439892	0.5972894457472229
502	0.7262936947706148	3.8315130325640383	1.8152046596357487
502	0.7125548579338216	4.39163703991992	2.020417802702096
502	0.8122422384434117	4.626931688138575	1.9484954600883861
502	0.6642385418538117	9.570704259729569	1.6908200939992348
502	0.6721615812385109	7.500254106314774	1.967828509849408
503	1.6294875916697191	6.420563305208843	0.16874845618380294
503	1.4969722685322815	7.656962669362604	0.20083464756496958
503	1.5640664242361495	6.989547415770075	0.1906007369355208
503	1.6031483067181749	6.783152341167316	0.17246180992818178
505	0.5544298832343939	17.797015107863196	4.908606701312631
507	0.949324320170307	5.452067309696228	0.2742602177789725
508	2.156742967788167	0.1472815390266377	0.01080278436453494
510	1.842164257268624	2.4818749163095863	0.33069512677505475
519	0.8323289389233604	7.242807863134675	0.37056059261834284
520	0.36260246800065055	14.019207901412749	9.17318945575901
521	1.0408497115951494	2.120480192840538	0.11081568509159609
523	0.640021628342066	4.073080602181839	10.144045339941707
525	2.414836958571973	0.44211509792183357	0.03788588688801859
525	2.571752475702763	0.2545236103694399	0.08445764874499014
525	2.584857484365939	0.20884591269100114	0.07431839948822101
526	1.1447663007734	1.77747105388834	0.9205728392848157
527	1.0975094359450905	2.538418825275875	0.3561329324993696
531	1.3020010957390526	0.7180966418755361	0.2062722339698239
538	2.494808026933695	0.10346800895525794	0.016436007331793522
541	1.085617767679018	0.36422509693991945	0.0543516529025011
544	1.2039580452270706	0.11059901747303345	0.011552047211364953
548	1.913815871876153	0.024297883804055714	0.05000591306464653
549	1.0312602190300404	17.16616233121788	1.175664141496698
554	1.4103806952699054	6.346884703993514	0.554175219839588
557	0.565264512105277	6.729388574752268	5.004112230958018
557	1.4625155487548727	1.0664722820928252	0.9277194272858907
557	0.930895186265128	2.7449209543190425	1.8012012877475314
