Benchmark	Conf1	Conf2	Conf3
500.perlbench_r	20.499100924	22.102	21.041
508.namd_r	59.833838656	61.09	63.979
541.leela_r	134.461800889	141.057	146.394
544.nab_r	17.864929757	18.725	18.854
520.omnetpp_r	83.118890665	115.72	118.717
505.mcf_r	84.937827517	98.941	97.902
519.lbm_r	54.056413985	71.79599999999999	71.745
549.fotonik3d_r	59.429519951	67.895	66.132
Benchmark	Conf1	Conf2	Conf3
500.perlbench_r	1	1.0781936281958275	1.0264352606491904
508.namd_r	1	1.0209941627048533	1.0692778774872125
541.leela_r	1	1.0490488679118943	1.0887404380434427
544.nab_r	1	1.048142940089815	1.055363791319272
520.omnetpp_r	1	1.3922226232108244	1.4282794085699917
505.mcf_r	1	1.1648637938166868	1.152631317070186
519.lbm_r	1	1.3281680138812484	1.327224555071455
549.fotonik3d_r	1	1.1424457080585513	1.1127803161547702
Overall Slowdown	1.0	1.1461754029637465	1.1503387912745366
