Benchmark	TT	IPC	MPKI	TLB	BW
500.perlbench_r	249.8213	1.9008	0.0117	0.2764	39.29
500.perlbench_r	208.8784	1.5596	0.0978	0.1684	87.31
500.perlbench_r	185.1351	1.6494	0.5457	0.5624	214.44
502.gcc_r	66.1357	1.1542	0.9962	1.7483	364.14
502.gcc_r	92.4269	1.1462	1.3808	1.9366	469.79
502.gcc_r	87.6188	1.2271	1.7351	1.855	661.72
502.gcc_r	84.1235	1.0126	6.083	1.6033	1759.75
502.gcc_r	126.7403	0.9427	4.4988	1.9079	1338.38
503.bwaves_r	258.1106	1.7582	4.9787	0.168	2630.73
503.bwaves_r	435.6441	1.6175	5.8042	0.1991	2903.11
503.bwaves_r	357.58	1.6836	5.3436	0.179	2742.73
503.bwaves_r	442.5118	1.7334	5.2662	0.172	2722.29
505.mcf_r	506.0017	0.7285	14.388	4.907	2305.63
507.cactuBSSN_r	478.8759	1.2607	3.0138	0.2862	997.57
508.namd_r	458.9689	2.2271	0.0493	0.0105	149.99
510.parest_r	672.1901	2.1731	0.2423	0.3285	186.24
519.lbm_r	498.8904	1.3622	3.2309	0.3652	3394.22
520.omnetpp_r	621.3706	0.6524	7.7763	8.1619	1189.5
521.wrf_r	1595.2488	1.1249	0.6862	0.1103	480.07
523.xalancbmk_r	559.6631	0.882	0.5993	10.1146	199.88
525.x264_r	75.6822	2.6295	0.2669	0.0368	345.34
525.x264_r	321.5565	0.0001	100.6736	0.0848	119.12
525.x264_r	283.8836	2.7558	0.0993	0.073	118.74
526.blender_r	491.3456	1.5063	0.6131	0.9138	222.14
527.cam4_r	859.5855	1.3417	0.6309	0.3329	353.98
531.deepsjeng_r	467.2693	1.5629	0.4262	0.2024	186.47
538.imagick_r	700.5715	2.5949	0.006	0.0159	37.09
541.leela_r	694.0687	1.1956	0.0013	0.0538	33.68
544.nab_r	697.8799	1.233	0.0402	0.0109	114.38
548.exchange2_r	834.7775	1.9941	0.0002	0.0678	31.88
549.fotonik3d_r	642.3222	1.447	15.0958	1.1731	7457.43
554.roms_r	701.7977	1.6694	3.831	0.537	2122.71
557.xz_r	171.4317	0.9316	1.9513	5.1471	478.14
557.xz_r	218.7761	1.9571	0.1874	0.9244	135.27
557.xz_r	163.7431	1.4025	0.6693	1.8282	265.24
